"COUNTY: AITKIN",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Antler","Bigfork",306,76.5,90,17
"Ball Club","Ball Club",3936,984,85,12
"Balsam","Taconite",710,296,37,11
"Bass","Cohasset",2407,1254,76,11.4
"Battle","Effie",199,199,15,11.5
"Bear","Nashwauk",339,268,16,3.5
"Beauty","Goodland",217,152,31,9
"Bello","Marcell",493,251,58,"n/a"
"Big Diamond","Marble",122,61,31,17
"Big Dick","Marcell",249,152,20,10
"Big Island","Marcell",238,202,42,14.5
"Big Ole","Marcell",179,84,65,15.5
"Big Sucker","Nashwauk",230,138,36,5
"Big Too Much","Talmoon",232,56,95,13
"Blackwater","Cohasset",674,633,72,9.4
"Blandin","Grand Rapids",449,366,38,15
"Bluewater","Grand Rapids",364,72,120,14.5
"Bowstring","Deer River",9220,4736,32,6
"Buck","Nashwauk",492,180,31,8
"Burnt Shanty","Marcell",182,127,35,10.5
"Burrows","Marcell",291,227,38,12
"Busties","Holyoke",237,71,44,"n/a"
"Caribou","Marcell",240,45,152,28
"Chase","Deer River",209,68,95,20.5
"Clubhouse","Marcell",210,32,103,17
"Coon","Big Fork",627,504,36,11.4
"Crooked","Marble",418,104,60,3.1
"Cutaway","Bovey",257,98,55,12
"Cut Foot Sioux","Squaw Lake",2768,1324,78,12.2
"Deer","Deer River",4097,920,121,9.5
"Deer","Effie",1748,1332,50,10.5
"Dixon","Squaw Lake",616,478,29,5.5
"Dora","Wirt",447,422,18,8.7
"Dunbar","Squaw Lake",254,162,30,5
"Eagle","Marcell",279,209,47,"n/a"
"Five Island(Ball)","Effie",175,111,33,15
"Fox","Marcell",280,193,75,12
"Grave","Marcell",500,304,39,9.5
"Gunderson","Talmoon",146,47,41,13
"Gunn","Marcell",342,142,39,9
"Hart","Pengilly",325,75,55,12
"Hartley","Nashwauk",281,98,49,10
"Hatch","Marcell",243,49,88,11
"Horseshoe","Marcell",270,241,25,10.5
"Holloway(Bass)","Wirt",193,69,40,14
"Holman","Bovey",146,78,65,16
"Island","Northome",3088,1195,35,7.5
"Jack the Horse","Marcell",383,245,45,12.5
"Jay Gould","Cohasset",426,292,33,10
"Jessie","Talmoon",1753,455,42,8
"Johnson","Marcell",305,89,51,15
"Johnson","Grand Rapids",492,146,88,13
"King","Taconite",296,141,23,4
"Lawrence","Taconite",395,316,32,4.5
"Leighton","Cohasset",229,78,63,14
"Little Bass","Cohasset",155,55,62,15
"Little Bear","Togo",142,97,35,7
"Little Bowstring","Deer River",319,115,33,4.1
"Little Cut Foot Sioux","Deer River",660,530,20,6
"Little Jessie","Deer River",637,206,50,8.6
"Little Moose","Grand Rapids",271,123,23,"n/a"
"Little Sand","Squaw Lake",361,231,19,"n/a"
"Little Turtle","Talmoon",475,226,29,4
"Little",,,,,
"Winnibigoshish","Deer River",938,209,28,10
"Long","Bigfork",331,177,34,8.5
"Loon","Grand Rapids",235,48,69,12
"McAvity","Grand Rapids",137,101,29,15
"McKinney","Grand Rapids",115,99,34,5.5
"Maple","Marcell",228,76.5,39,11
"Moose","Deer River",1265,345,61,14.5
"Moose","Northome",357,93,52,9
"North Star","Marcell",1059,314,90,12.9
"North Twin","Marble",250,73,42,11
"No-Ta-She-Bun(Willow)","Remer",238,72,45,20
"Owen","Bigfork",257,187,34,17
"Pickerel","Effie",293,52,70,11
"Pokegama","Grand Rapids",6612,1978,112,19
"Prairie","Grand Rapids",1064,853,31,6.5
"Rice","Grand Rapids",857,229,68,14.75
"Round","Big Fork",502,239,40,11.5
"Round","Squaw Lake",2828,1968,24,7
"Ruby","Grand Rapids",243,90,88,12
"Sand","Squaw Lake",4328,1897,70,7.1
"Shallow","Warba",531,268,85,18.2
"Shoal","Nashwauk",286,114,77,13.5
"Shoal","Grand Rapids",645,645,7,4
"Siseebakwet",,,,,
"(Sugar)","Grand Rapids",1306,292,105,9
"Spider","Marcell",1349,737,36,10.5
"Split Hand","Grand Rapids",1420,511,34,8.5
"Stingy","Nashwauk",378,207,25,5.5
"Sugar","Cass Lake",1585,1268,22,9
"Swan","Pengilly",2472,507,65,9.5
"Thistle Dew","Togo",318,73,45,13
"Three Island","Marcell",235,66,66,18
"Trout","Coleraine",1890,438,135,14.5
"Trout","Grand Rapids",1753,386,157,10
"Turtle","Marcell",2052,556,137,10.5
"Wabana","Grand Rapids",2215,785,115,16
"Wasson","Taconite",415,208,67,14
"Whitefish","Wirt",563,261,51,8
"White Swan","Bigfork",158,119,19,10
"Return to the top",,,,,
"COUNTY: JACKSON",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Clear","Jackson",415,415,9,2.2
"Fish","Windom",300,150,26,5
"Heron","Lakefield",2845,2845,5,"N/A"
"Little Spirit","Jackson",572,572,8,5.8
"Loon","Jackson",679,679,7,2.7
"Round","Round Lake",1024,1024,9,1.1
"Rush","Jackson",293,293,3,0.7
"Timber","Windom",198,198,8,0.9
"Return to the top",,,,,
"COUNTY: KANABEC",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Ann","Ogilve",653,600,17,3.2
"Eleven","Kroschel",290,290,13,3.2
"Knife","Mora",1266,1266,15,2
"Lewis","Ogilve",220,148,48,5.5
"Return to the top",,,,,
"COUNTY: KANDIYOHI",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Andrew","New London",814,293,26,13.7
"Big Kandiyohi","Lake Lillian",2692,2692,15,2.8
"Calhoun","Spicer",618,618,13,5.7
"Diamond","Atwater",1565,635,27,3
"Eagle","Willmar",824,274,67,8.5
"East Soloman","Willmar",706,706,14,12
"Elizabeth","Atwater",1054,1054,9,4
"Florida","Spicer",674,267,40,10.5
"Foot","Willmar",694,663,24,3
"Games","Sunburg",515,242,42,9.3
"George","Spicer",231,112,34,15.5
"Green","Spicer",5406,2035,110,13.2
"Long","New London",286,127,46,10.5
"Long","Willmar",1575,1489,16,10.6
"Mud","New London",2318,2318,14,5.4
"Nest","Spicer",945,525,40,9.8
"Norway","Sunburg",2344,2152,33,7.2
"Wagonga","Willmar",1664,1664,15,1.9
"Return to the top",,,,,
"COUNTY: KOOCHICHING",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Bartlett","Northome",292,292,16,3.8
"Rainy","International Falls",220800,18949,161,"N/A"
"Rat Root","International Falls",1125,1125,8,"N/A"
"Return to the top",,,,,
"COUNTY: LAKE",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Birch","Ely",711,342,34,9
"Browns","Ely",205,170,19,12
"Dumbbell","Isabella",437,202,40,22
"Fall","Winton",2173,1178,32,7
"Farm","Ely",1328,459,56,8
"Garden","Ely",670,239,55,7
"Gegoka","Isabella",159,159,10,4
"Greenstone","Ely",345,131,72,12
"Greenwood","Isabella",1300,1300,7,3.2
"Harriet","Isabella",265,194,37,15
"Isabella","Isabella",1516,1165,19,5
"Jasper","Ely",154,123,25,14
"Mitawan","Isabella",185,105,24,15
"Ninemile","Schroeder",296,288,40,10
"Ojibway","Ely",371,134,115,16
"Perent","Isabella",1800,1368,28,6
"Sand","Isabella",476,476,11,4.5
"Silver Island","Isabella",1102,1102,15,7.5
"Slate","Isabella",294,294,7,2.7
"Snowbank","Ely",3303,879,150,21
"Stewart","Two Harbors",248,247,24,10.3
"Stony","Isabella",227,227,4,3
"Tofte","Ely",155,42,73,13
"Triangle","Ely",309,160,43,16
"West Chub","Isabella",114,114,12,7.5
"Whitefish","Tofte",339,191,49,22
"Wilson","Schroeder",622,229.5,53,17
"Windy","Isabella",450,199,39,7.5
"Return to the top",,,,,
"COUNTY: LESUEUR",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Clear","Lexington",268,198,18,2.3
"East Jefferson","Cleveland",700,343,37,4
"Emily","St.Peter",235,165,37,2
"Frances","Elysian",797,502,60,8.5
"German","Elysian",899,521,51,5
"Gorman","Le Center",499,499,14,6
"Greenleaf","Montgomery",293,261,18,"N/A"
"Horseshoe","Waterville",393,"N/A",26,2.2
"Sabre","Cordova",263,263,13,7
"Tetonka","Waterville",1336,548,35,9
"Volney","Le Center",283,130,67,15
"Washington","Madison Lake",1487,783,51,2.2
"West Jefferson","Cleveland",441,348,24,1.5
"Return to the top",,,,,
"COUNTY: LINCOLN",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Benton","Lake Benton",2857,2857,9,1.6
"Dead Coon","Arco",569,569,9,2.5
"Hawks Nest","Ivanhoe",282,282,7.3,1
"Hendricks","Hendricks",1557,1557,12,2.25
"Perch","Ivanhoe",224,180,16.2,2
"Shaokotan","Ivanhoe",995,995,10,2
"Stay","Arco",224,224,6,0.8
"Steep Bank","Hendricks",208,208,6.5,1
"Return to the top",,,,,
"COUNTY: LYON",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Cottonwood","Cottonwood",323,323,7,2.3
"East Twin","Florence",352,224,22,3.2
"Lady Slipper","Cottonwood",247,247,11,1.18
"Rock","Russell",439,422,7.2,1
"School Grave","Cottonwood",318,318,11,1.55
"West Twin","Florence",232,232,10,2.8
"Wood","Russell",367,367,14,7
"Yankton","Balaton",387,387,8,"N/A"
"Return to the top",,,,,
"COUNTY: MAHNOMEN",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Bass","Waubun",689,294,26,15
"Church","Mahnomen",167,161,19,1.9
"Island","Lengby",611,331,43,3.5
"Little Elbow","Waubun",158,119,18,8.5
"McCraney","Nay-tah-waush",268,107,43,11
"North Twin","Nay-tah-waush",901,900,16,9
"Roy","Zerkel",653,638,16,6.5
"Snider","Nay-tah-waush",632,268,29,8
"South Twin","Waubun",1000,525,29,7
"Tulaby","Waubun",773,281,43,8.5
"Return to the top",,,,,
"COUNTY: MEEKER",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Belle","Hutchinson",826,383,25,2.8
"Big Swan","Kingston",628,338,32,4.1
"Clear","Watkins",497,441,18,1.5
"Francis","Kingston",921,871,17,6.5
"Greenleaf","Litchfield",224,180,18,2.4
"Hope","Grove City",250,250,10,0.6
"Jennie","Dassel",1056,1056,15,3.5
"Long","Grove City",771,771,11,0.8
"Manuella","Darwin",286,114,51,8.8
"Minnie Belle","Litchfield",545,169,49,16
"Ripley","Litchfield",558,466,18,5.5
"Spring","Dassel",218,165,30,4
"Star","Litchfield",557,557,15,2.9
"Stella","Darwin",553,226,75,5.6
"Washington","Darwin",2639,2454,17,3.9
"Wolf","Dassel",259,259,11,3
"Return to the top",,,,,
"COUNTY: MCLEOD",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Cedar","Cedar Mills",1924,1924,8,5.8
"Hook","Hutchinson",327,324,18,1.3
"Marion","Brownton",594,594,12,"n/a"
"Swan","Silver Lake",343,343,10,"N/A"
"Winsted","Winsted",376,376,12,2.1
"Return to the top",,,,,
"COUNTY: MILLE LACS",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Mille Lacs","Garrison",132516,33129,42,"N/A"
"Onamia","Onamia",2142,2142,10,4.5
"Shakopee","Onamia",675,675,15,5.7
"Return to the top",,,,,
"COUNTY: MORRISON",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Alexander","Randall",2709,842,64,11
"Crookneck","Lincoln",168,131,22,13
"Fish Trap","Lincoln",1175,404,42,9.6
"Green Prairie Fish","Randall",180,82,22,8.7
"Long","Sullivan",120,63,35,10
"Peavy","Sullivan",123,45,63,16.2
"Pelkey","Little Falls",96,96,7,2.3
"Pierz","Genola",170,65,34,7.5
"Rice","Little Falls",323,323,8,4
"Round","Harding",130,57,29,9
"Round","Pillager",99,64,18,7.3
"Round","Randall",127,95,20,15
"Shamineau","Motley",1428,746,52,21
"Stanchfield","Pillager",38,17,32,15
"Sullivan","Harding",1221,567,57,"n/a"
"Return to the top",,,,,
"COUNTY: MURRAY",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Bloody","Currie",248,248,9,1
"Buffalo","Dovray",124,124,8.5,1.3
"Currant","Balaton",377,377,9.5,0.9
"First Fulda","Fulda",179,179,7,1
"Fox","Currie",174,174,8.5,1.2
"Lime","Avoca",338,338,7,0.8
"Louisa","Westbrook",298,298,8,0.8
"Sarah","Garvin",1093,1093,11,2.5
"Shetek","Currie",3596,3596,10,"N/A"
"Wilson","Lake Wilson",170,170,8,1.8
"Return to the top",,,,,
"COUNTY: Nicollet",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Swan","Nicollet",9346,"N/A",8.5,"N/A"
"Return to the top",,,,,
"COUNTY: OTTERTAIL",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Adley","Parkers Prairie",239,238,20,260
"Anna","Underwood",538,373,55,5.6
"Annie Battle","Battle Lake",334,150,51,14.5
"Bass","Underwood",292,138,36,12.1
"Bear","Perham",181,120,32,7.6
"Beers","Pelican Rapids",195,96,61,14.5
"Belmont","Clitheral",192,108,34,11.8
"Big McDonald","Perham",935,368,46,10.2
"Big McDonald 2","Dent",489,295,33,13.6
"Big Pine","Perham",4730,2386,76,6
"Blanche","Ottertail",1268,1002,64,9
"Block","Urbank",263,132,23,5.8
"Boedigheimer","Richville",176,93,26,13.5
"Buchanan","Ottertail",929,835,42,11
"Clear","Dalton",352,153,29,8.1
"Clitherall","Dalton",2493,805,69,9.3
"Crane","Battle Lake",367,202,43,11
"Dead","Dent",7901,6537,65,4.83
"Deer","Battle Lake",457,306,26,9.5
"Devils","Perham",314,211,67,13.2
"Eagle","Battle Lake",845,157,46,22.6
"East Battle","Henning",1949,825,87,7.7
"East Leaf","Henning",404,113,47,8
"East Lost","Battle Lake",501,327,36,10.2
"East Silent","Dent",310,58,48,16
"Elbow","Battle Lake",189,80,46,24
"Ethel","Ottertail City",194,69,64,14
"Fish","Parkers Prairie",435,428,17,5
"Fish","Pelican Rapids",261,127,69,9
"Fish","Fergus Falls",888,888,19,4
"Fiske","Battle Lake",250,186,26,5.2
"Five","Vergas",224,108,77,14
"Franklin","Pelican Rapids",1336,749,48,11
"Graham","Frazee",210,126,34,10.8
"Hancock","Battle Lake",182,109,23,5
"Head","Richville",249,137,26,6.5
"Heilberger","Erhard",224,97,47,12.6
"Jewett","Elizabeth",737,262,75,9
"Johnson","Dalton",338,165,32,6.5
"Jolly Ann","Dalton",256,131,89,10.1
"Leek","Vergas",609,272,76,11.3
"Little McDonald","Perham",1174,413,109,19.1
"Little Pelican","Vergas",345,256,25,11
"Little Pine","Perham",1969,698,63,18.5
"Lizzie","Pelican Rapids",4035,3013,66,11.2
"Long","Vergas",1273,529,128,"N/A"
"Long","Dalton",350,236,88,9.5
"Long","Ottertail",1173,1170,17,"n/a"
"Long","Weetown",293,272,17,3.5
"Long","Fergus Falls",756,306,73,8
"Loon","Vergas",1048,592,105,14.45
"Marion","Richville",1664,685,62,12
"Middle","Battle Lake",194,100,56,17.5
"Middle Leaf","Ottertail",398,181,43,12
"North Lida","Pelican Rapids",5564,2380,58,7
"North Ten Mile","Fergus Falls",745,745,14,2
"North Turtle","Underwood",1484,1454,19,9.6
"Norway","Underwood",384,242,19,3.6
"Orwell","Fergus Falls",782,626,25,4.7
"Ottertail","Ottertail",13725,6468,120,10.5
"Paul","Perham",319,109,81,23
"Pelican","Pelican Rapids",3986,1625,55,6.4
"Pickerel","Maine",829,274,78,9
"Pleasant","Underwood",370,235,38,13.5
"Portage","Ottertail",265,148,49,14.2
"Prairie","Pelican Lake",1016,801,22,11.9
"Rice","Vergas",350,350,8,3.3
"Rose","Vergas",1190,465,137,9
"Round","Ottertail",262,220,36,3.4
"Rush","Ottertail",5338,3325,68,4.5
"Scalp","Frazee",243,67,90,15.5
"Sewell","Dalton",338,168,52,17
"Silver","Frazee",247,224,34,4.7
"South Lida","Pelican Rapids",856,356,48,8
"South Turtle","Underwood",630,398,35,15.8
"Spitzer","Urbank",728,631,33,9
"Stalker","Underwood",1280,575,95,7.5
"Star","Dent",4721,2813,94,11.4
"Stuart","Vining",699,405,49,24
"Swan","Fergus Falls",689,371,44,11.5
"Sybil","Vergas",706,423,74,13.5
"Tamarac","Pelican Rapids",392,392,11,6
"Ten Mile","Dalton",1411,597,51,8
"Twin","Amor",333,189,50,16
"Walker","Ottertail",540,342,29,4.7
"Wall","Fergus Falls",683,229,34,5.5
"West Battle","Battle Lake",5624,2496,108,17.5
"West Leaf","Ottertail",684,256,55,9.9
"West Lost","Underwood",723,692,16,9
"West McDonald","Vergas",573,183,62,13.6
"West Silent","Pelican Rapids",328,118,58,14
"Wimar","Frazee",275,107,58,7
"Return to the top",,,,,
"COUNTY: PINE",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Bass","Finlayson",189,148,24,7
"Big Pine","Finlayson",387,135,25,4.9
"Cross","Pine City",943,507,30,4
"Dago","Willow River",107,107,20,11
"Elbow","Finlayson",103,73,33,5
"Eleven","Sturgeon Lake",109,69,49,7
"Fox","Willow River",239,239,14.5,2.5
"Grindstone","Sandstone",526,71,153,7.8
"Island","Sturgeon Lake",510,267,42,8.5
"Net","Nickerson",136,136,15,3.7
"Oak","Duquette",442,433,20,2.5
"Pokegama","Pine City",1474,903,25,3.3
"Razor","Cloverdale",100,47,36,9
"Rhine","Finlayson",111,111,8,5.8
"Sand","Moose Lake",501,215,47,12.6
"Sturgeon","Sturgeon Lake",1405,495,40,8.7
"Upper Pine","Finlayson",210,210,15,4
"Return to the top",,,,,
"COUNTY: POLK",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Badger","Erskine",353,342,19,19
"Cameron","Erskine",224,224,9,"n/a"
"Cross","Fosston",328,303,19,7
"Maple","Mentor",1477,1477,14,"n/a"
"Sand Hill","Fosston",510,510,17,10
"Sarah","Erskine",352,180,27,17
"Spring","Lengby",136,44,35,6
"Turtle","Fosston",545,545,12,2.3
"Union","Erskine",734,265,83,10.2
"Whitefish","Fosston",226,183,18,3.8
"Return to the top",,,,,
"COUNTY: POPE",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Amelia","Villard",910,370,69,9.5
"Ann","Glenwood",356,356,14,6.4
"Emily","Hancock",2377,2377,7,1.5
"Gilchrist","Sedan",321,206,24,4.2
"Grove","Sedan",379,265,31,18
"Johanna","Brooten",1584,1584,10,10
"Leven","Villard",283,161,33,3.5
"Linka","Sedan",197,78,50,12.5
"Malmedal","Lowry",220,220,10,"N/A"
"Minnewaska","Glenwood",7110,2140,32,7
"Nelson","Glenwood",403,403,9,4.5
"Pelican","Glenwood",519,416,34,6
"Reno","Alexandria",3722,1303,23,6.5
"Scandinavian","Terrace",424,237,49,10
"Villard","Villard",536,488,16,2.8
"Return to the top",,,,,
"COUNTY: RAMSEY",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Bald Eagle","White Bear Lake",1268,751,36,2.6
"Gervais","Little Canada",234,91,41,6.5
"Gilfillian","White Bear Lake",110,110,9,"n/a"
"Johanna","Arden Hills",213,96,43,9.5
"Josephine","Roseville",118,81,44,6.8
"Owasso","Shoreview",384,293,37,7
"Snail","Shoreview",150,130,30,9
"Turtle","Shoreview",409,245,28,4.5
"White Bear Lake","White Bear Lake",2416,1314,83,10.5
"Return to the top",,,,,
"COUNTY: RENVILLE",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Allie","Buffalo Lake",451,451,12,1.5
"Preston","Buffalo Lake",670,670,11,2.7
"Return to the top",,,,,
"COUNTY: RICE",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Cannon","Faribault",1591,1591,15,2
"Cedar","Faribault",804,673,42,2
"Circle","Lonsdale",624,624,14,"n/a"
"Cody","Montgomery",257,257,14,0.7
"Fox","Shieldsville",308,139,47,2
"French","Faribault",816,397.5,56,14
"Mazaska","Shieldsville",685,336,50,2.3
"Roberds","Shieldsville",625.4,393.4,43,1.5
"Shields","Shieldsville",872,658.1,42,8
"Union","Little Chicago",403,403,10,3.6
"Return to the top",,,,,
"COUNTY: ST LOUIS",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Armstrong","Ely",389,102,34,9
"Ash","Orr",669,195,25,8
"Ban","Orr",380,380,10,5
"Bass","Soudan",238,231,17,7
"Bassett","Fairbanks",442,196,21,7.5
"Bear Island","Babbit",2351,879,62,10
"Bearhead","Tower",674,371,46,12
"Berg","Melrude",151,151,10,4
"Big","Ely",1789,1514,22,7
"Big Lake","Hoyt Lakes",805,379,30,9
"Big Moose","Ely",1032,1012,23,"n/a"
"Big Rice","Ely",420,420,5,2
"Birch","Babbit",5628,1060,25,4
"Blackduck","orr",1185,498,30,10.5
"Burntside","Tower",7139,1478,126,20
"Cadotte","Fairbanks",325,230,18,12
"Cameron","Cotton",162,81,27,6.5
"Carey","Hibbing",139,139,13.5,5
"Cedar Island","Biwabik",185,176,20,3
"Clear","Ely",119,97,24,11
"Clear","Buhl",112,94,24,10.5
"Colby","Hoyt Lakes",539,377,30,4
"Comstock","Whiteface",443,310,30,4
"Crane","Crane Lake",3088,618,80,7.5
"Cruiser","Ray",115,22,91,27
"Dark","Buhl",232,138,31,17
"Dewey","Chisholm",195,76,40,11
"Dinham","Melrude",207,132,25,3.5
"Dovre","Crane Lake",120,114,17,5
"Eagles Nest 1","Ely",322,88,76,19
"Eagles Nest 2","Ely",408,229,39,14
"Eagles Nest 3","Soudan",1001,553,49,18
"Eagles Nest 4","Ely",177,83,49,18
"Elbow","Orr",1659,664,60,6
"Elbow","Iron Junction",165,130,22,9
"Elephant","Orr",742,331,30,2.8
"Elliot","Eveleth",398,398,13,10
"Ely","Eveleth",673,225,70,15
"Embarass","Biwabik",442,407,19,5
"Esquagama","Biwabik",366,82,90,8
"Everett","Ely",109,109,15,8
"Fenske","Ely",105,63,43,14
"Floodwood","Goodland",328,157,55,7.5
"Franklin","Crane Lake",135,120,18,6.3
"Grand","Twig",1592,1510,24,12
"Grassy","Ely",213,213,15,8
"Half Moon","Eveleth",153,58,40,8.5
"Island","Goodland",227,142,65,14.3
"Janette","Goodland",137,119,55,7.5
"Johnson","Ely",465,464,18,3
"Johnson","Crane Lake",1674,557,88,9
"Kabetogama","Kabetogama",25760,7440,80,"n/a"
"Kjostad","Buyck",397,286,50,6.5
"Leora","Cotton",296,110,35,9.7
"Linwood","Markham",251,203,34,5.2
"Little Johnson","Crane Lake",481,471,28,8.5
"Little Long","Ely",293,78,45,17
"Little Stone","Two Harbors",181,140,17,4.8
"Little Sturgeon","Chisholm",266,54,22,4.5
"Little Trout","Tower",538,178,37,9
"Little Trout","Crane Lake",239,79,95,17
"Little Vermilion","Crane Lake",1331,639,52,6.5
"Long","Makinen",395,395,14,2
"Long","Crane Lake",409,319,18,5
"Long","Chisholm",267,126,36,5.7
"Long","Cotton",209,88,51,11.5
"Longyear","Chisholm",158,155,18,4.3
"Loon","Aurora",290,70,85,18
"Lost","Tower",768,730,20,5
"Manganika","Virgina",158,141,24,2
"Markham","Markham",264,238,29,2.5
"McQuade","Hibbing",164,157,21,5
"Mukooda","Crane Lake",754,151,78,12
"Murphy","Central Lakes",395,261,24,4.1
"Myrtle","Orr",889,862,20,10.5
"Nichols","Payne",413,362,31,5.1
"One Pine","Ely",363,363,13,5
"Pelican","Orr",10945,5879,38,9.5
"Pequaywan","Rollins",418,240,33,9.5
"Perch","Chisholm",339,170,30,11
"Picket","Buyck",312,121,23,9
"Pine","Fairbanks",430,430,14,4
"Pleasant","Eveleth",345,154,33,7
"Prairie","Floodwood",848,272,47,4
"Rocky","Ely",116,42,40,7
"Sabin","Aurora",305,135,40,3
"Sand","Virginia",701,701,15,12
"Schubert","Cotton",205,140,24,7.5
"Side","Chisholm",372,153,32,14
"Smith","Brimson",180,74,51,19
"Spring","Crane Lake",194,49,60,15.5
"Stone","Rollins",206,196,17,7
"Sturgeon","Chisholm",1664,667,80,14.5
"Vermilion","Tower",40557,15006,76,"n/a"
"White Iron","Ely",3429,1603,47,4
"Whiteface","Markham",5600,4480,35,5.1
"Whitewater","Hoyt Lakes",1210,564,73,12
"Winchester","Orr",360,54,50,7.5
"Wolf","Ely",299,145,28,10.5
"Return to the top",,,,,
"COUNTY: SCOTT",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Cedar","New Prague",780,780,13,3.1
"Fish","Prior Lake",171,74,28,6.5
"O'Dowd","Shakopee",258,235,22,1.8
"Prior (Lower)","Prior Lake",810,373,60,9.5
"Prior (Upper)","Prior Lake",354,329,50,3.5
"Spring","Prior Lake",580,290,37,2.3
"Thole","Shakopee",105,105,12,2.1
"Return to the top",,,,,
"COUNTY: SHERBURNE",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Ann","Zimmerman",184,138,26,11.5
"Big Lake","Big Lake",251,110,48,9.5
"Birch","Big Lake",151,117,18,2.5
"Briggs","Clear Lake",377,170,25,3
"Eagle","Big Lake",381,330,18,2
"Elk (Big)","Clear Lake",360,360,9,1.9
"Elk (Little)","Zimmerman",353,353,15,2.5
"Fremont","Zimmerman",484,484,8,3.3
"Julia","Clear Lake",142,136,15,3
"Orono","Elk River",281,281,18,1
"Rush","Clear Lake",142,142,11,1.9
"Return to the top",,,,,
"COUNTY: SIBLEY",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Clear","Gibbon",469,469,8,"N/A"
"Silver","Arlington",621,621,8,1
"Return to the top",,,,,
"COUNTY: STEARNS",,,,,
"LAKE","NEARBY TOWN","SIZE (acres)","LITTORAL AREA (acres)","MAX DEPTH (ft)","WATER CLARITY (ft)"
"Big","Richmond",403,227,42,4.8
"Big Fish","Cold Spring",558,201,70,14.8
"Big Spunk","Avon",440,150,38,10
"Big Watab","Avon",227,46,123,10
